"idVin","nomVin","paysVin","regionVin","nomDomaine","appellation","millesime","cepages","couleurVin","typeVin","clBout","degustation","recompenses","accordMetsVin","mainPhotoVin","codeRegion","codeDomaine","codeAppellation","ListeB1","ListeB2","","","","",""
"101","Hautes Côtes de Beaune Vielles Vignes","France","Bourgogne","Domaine Parigot Père et Fils","Hautes côtes de Beaune","2014","","VB","VT","75","","","","","Bour","Par","HcdB","","","","","","",""
"102","Bourgogne Hautes Côtes de Beaune Clos de la Pérrière","France","Bourgogne","Domaine Parigot Père et Fils","Hautes côtes de Beaune","2014","","VR","VT","75","","","","","Bour","Par","HcdB","","","","","","",""
"103","Savigny les Beaune Les Peuillets 1er cru","France","Bourgogne","Domaine Parigot Père et Fils","Savigny Les Beaune","2014","","VR","VT","75","","","","","Bour","Par","Savigny","","","","","","",""
"104","Chassagne Montrachet 1er cru Clos Saint Jean","France","Bourgogne","Domaine Parigot Père et Fils","Chassagne Montrachet 1er cru","2014","","VB","VT","75","","","","","Bour","Par","Chassagne 1er","","","","","","",""
"105","Pommard Les Riottes","France","Bourgogne","Domaine Parigot Père et Fils","Pommard","2013","","VR","VT","75","","","","","Bour","Par","Pommard","","","","","","",""
"106","Savigny les Beaune Les Peuillets 1er cru","France","Bourgogne","Domaine Parigot Père et Fils","Savigny Les Beaune","2015","","VR","VT","75","","","","","Bour","Par","Savigny","","","","","","",""
"107","Bourgogne Hautes Côtes de Beaune Clos de la Pérrière","France","Bourgogne","Domaine Parigot Père et Fils","Hautes côtes de Beaune","2016","","VR","VT","75","","","","","Bour","Par","HcdB","","","","","","",""
"108","Beaune 1er Cru Les Grèves","France","Bourgogne","Domaine Parigot Père et Fils","Beaune 1er cru","2016","","VR","VT","75","","","","","Bour","Par","Beaune 1er cru","","","","","","",""
"121","Acolon","Belgique","Wallonie","Château Bon Baron","Côtes deSambre et Meuse","2013","","VR","VT","75","","","","","Wal","Baron","Sambre","","","","","","",""
"122","Parfondeville","Belgique","Wallonie","Château Bon Baron","Côtes deSambre et Meuse","2013","","VR","VT","75","","","","","Wal","Baron","Sambre","","","","","","",""
"123","Pinot Gris","Belgique","Wallonie","Château Bon Baron","Côtes deSambre et Meuse","2014","","VB","VT","75","","","","","Wal","Baron","Sambre","","","","","","",""
"141","Minervois Esprit Automne","France","Languedoc","Domaine Borie de Maurel","Minervois","2015","","VR","VT","75","","","","","Lang","Borie","Minervois","","","","","","",""
"143","Minervois La Livinière La Féline","France","Languedoc","Domaine Borie de Maurel","Minervois","2015","","VR","VT","75","","","","","Lang","Borie","Minervois","","","","","","",""
"144","Minervois La Livinière Maxime","France","Languedoc","Domaine Borie de Maurel","Minervois","2015","","VR","VT","75","","","","","Lang","Borie","Minervois","","","","","","",""
"145","Le Vin du sorcier","France","Languedoc","Domaine Borie de Maurel","Minervois","2016","","VR","VT","75","","","","","Lang","Borie","Minervois","","","","","","",""
"147","Le Charivari XXXXXXX","France","Languedoc","Domaine Borie de Maurel","Minervois","2016","","VR","VT","75","","","","","Lang","Borie","Minervois","","","","","","",""
"148","Minervois cuvée Sylla","France","Languedoc","Domaine Borie de Maurel","Minervois","2015","","VR","VT","75","","","","","Lang","Borie","Minervois","","","","","","",""
"149","Minervois cuvée Sylla - Magnum","France","Languedoc","Domaine Borie de Maurel","Minervois","2013","","VR","VT","150","","","","","Lang","Borie","Minervois","","","","","","",""
"151","Minervois Esprit d'Automne - Magnum","France","Languedoc","Domaine Borie de Maurel","Minervois","2015","","VR","VT","150","","","","","Lang","Borie","Minervois","","","","","","",""
"153","Minervois Esprit Automne","France","Languedoc","Domaine Borie de Maurel","Minervois","2016","","VR","VT","75","","","","","Lang","Borie","Minervois","","","","","","",""
"155","Minervois La Livinière La Féline","France","Languedoc","Domaine Borie de Maurel","Minervois","2016","","VR","VT","75","","","","","Lang","Borie","Minervois","","","","","","",""
"156","Minervois Esprit Automne","France","Languedoc","Domaine Borie de Maurel","Minervois","2017","","VR","VT","75","","","","","Lang","Borie","Minervois","","","","","","",""
"157","Minervois Belle de Nuit","France","Languedoc","Domaine Borie de Maurel","Minervois","2016","","VR","VT","75","","","","","Lang","Borie","Minervois","","","","","","",""
"159","La Belle Aude","France","Languedoc","Domaine Borie de Maurel","Minervois","2018","","VB","VT","75","","","","","Lang","Borie","Minervois","","","","","","",""
"160","Minervois Belle de Nuit","France","Languedoc","Domaine Borie de Maurel","Minervois","2016","","VR","VT","75","","","","","Lang","Borie","Minervois","","","","","","",""
"162","Minervois La Livinière La Féline","France","Languedoc","Domaine Borie de Maurel","Minervois","2017","","VR","VT","75","","","","","Lang","Borie","Minervois","","","","","","",""
"163","Minervois Belle de Nuit","France","Languedoc","Domaine Borie de Maurel","Minervois","2017","","VR","VT","75","","","","","Lang","Borie","Minervois","","","","","","",""
"164","Minervois Le Rosé","France","Languedoc","Domaine Borie de Maurel","Minervois","2017","","VR","VT","75","","","","","Lang","Borie","Minervois","","","","","","",""
"171","Côtes du Rhône Les Rizannes","France","Côte du Rhone","Domaine Constant Duquesnoy","AOC Côtes du Rhone","2014","","VR","VT","75","","","","","CdR","Constant","CdRhone","","","","","","",""
"172","Cairanne ""Terra Rhona""","France","Côte du Rhone","Domaine Constant Duquesnoy","AOC Cairanne","2015","","VR","VT","75","","","","","CdR","Constant","Cairanne","","","","","","",""
"173","Vinsobres Confidence","France","Côte du Rhone","Domaine Constant Duquesnoy","AOC Vinsobres","2014","","VR","VT","75","","","","","CdR","Constant","Vinsobres","","","","","","",""
"174","Vinsobres Confidence","France","Côte du Rhone","Domaine Constant Duquesnoy","AOC Vinsobres","2015","","VR","VT","150","","","","","CdR","Constant","Vinsobres","","","","","","",""
"175","Cairanne ""Terra Rhona""","France","Côte du Rhone","Domaine Constant Duquesnoy","AOC Cairanne","2016","","VR","VT","75","","","","","CdR","Constant","Cairanne","","","","","","",""
"176","Vinsobres Confidence","France","Côte du Rhone","Domaine Constant Duquesnoy","AOC Vinsobres","2015","","VR","VT","75","","","","","CdR","Constant","Vinsobres","","","","","","",""
